#{"t_start": 1685557573.1326075, "env_id": null}
r,l,t
11.488628,3000,161.665105
4.894029,3000,304.395171
10.06739,3000,468.327213
11.694342,3000,615.962366
12.762468,3000,841.310872
8.965236,3000,1047.370935
11.488628,3000,1224.555446
11.488628,3000,1415.141827
11.488628,3000,1603.206258
12.762468,3000,1770.824492
12.762468,3000,1925.980997
12.762468,3000,2137.970253
11.488628,3000,2338.868656
11.488628,3000,2513.927066
12.762468,3000,2678.163479
12.762468,3000,2863.787529
11.706169,3000,3029.466568
11.488628,3000,3227.150863
11.488628,3000,3409.943845
12.762468,3000,3582.001625
12.762468,3000,3753.757974
11.694342,3000,3921.723889
13.852263,3000,4099.209817
13.852263,3000,4271.874606
12.330135,3000,4442.834862
12.762468,3000,4624.420608
12.762468,3000,4798.592592
12.762468,3000,4966.797713
13.852263,3000,5138.866109
12.762468,3000,5328.494658
12.762468,3000,5506.357734
13.852263,3000,5681.029235
12.762468,3000,5861.851113
13.852263,3000,6045.240256
13.852263,3000,6213.175065
13.852263,3000,6385.386535
13.852263,3000,6568.411618
13.852263,3000,6771.957207
13.852263,3000,6995.000845
13.852263,3000,7169.374667
13.852263,3000,7343.090894
13.852263,3000,7514.249032
13.852263,3000,7701.519073
12.431025,3000,7878.549499
13.852263,3000,8052.774188
13.852263,3000,8241.169006
13.852263,3000,8418.259456
13.852263,3000,8593.32383
13.852263,3000,8766.958948
13.852263,3000,8958.900939
13.852263,3000,9148.303178
13.852263,3000,9321.028008
13.852263,3000,9504.213278
13.852263,3000,9678.750531
13.852263,3000,9839.327125
13.852263,3000,9973.385285
13.852263,3000,10117.314562
13.852263,3000,21047.470587
13.852263,3000,32614.847596
12.578423,3000,32813.617426
13.852263,3000,33003.715092
12.578423,3000,33128.412037
