#{"t_start": 1681479827.2279878, "env_id": null}
r,l,t
33.667807,3000,2823.667556
40.349557,3000,5654.389196
95.813737,3000,8542.167357
178.431762,3000,11413.142991
211.393885,3000,14290.250962
196.111982,3000,17208.103321
233.951526,3000,20129.502573
263.933266,3000,23094.440958
116.40352,3000,26074.314394
132.087539,3000,29076.7043
167.043191,3000,32009.03324
258.347371,3000,34955.366278
377.778894,3000,37915.605129
143.607207,3000,40800.841999
371.599824,3000,43713.765705
370.571813,3000,46599.548616
350.62402,3000,49537.577247
334.466015,3000,52473.214016
376.894449,3000,55643.247776
372.552801,3000,58611.113299
394.993853,3000,61583.345166
389.359001,3000,64560.53004
391.562873,3000,67554.037507
